ENGLISH CATEGORY,¤¤¤åÃþ§O,FRESH FOOD CATEGORY,ÂA¬¡­¹«~Ãþ§O,FOOD TYPE,­¹«~ºØÃþ,PRICE (THIS MORNING),»ù¿ú (¤µ¦­),UNIT,³æ¦ì,INTAKE DATE,¨Ó³f¤é´Á,SOURCE OF SUPPLY (IF APPROPRIATE),¨ÑÀ³¨Ó·½ (¦p¾A¥Î),PROVIDED BY,¸ê®Æ¨Ó·½,Last Revision Date,³Ì«á§ó·s¤é´Á
Average Wholesale Prices,¥­§¡§åµo»ù,Livestock / Poultry,¬¹¯b¤Î®a¸V,Live pig,¬¡½Þ,1800.0 ,1800.0 ,($ / Picul),(¤¸¡þ¾á),(Yesterday),(¬Q¤é),-,-,Slaughterhouses,±O©Ð,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Livestock / Poultry,¬¹¯b¤Î®a¸V,Live cattle,¬¡¤û,4217.0 ,4217.0 ,($ / Picul),(¤¸¡þ¾á),(Yesterday),(¬Q¤é),-,-,Ng Fung Hong,¤­Â×¦æ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Livestock / Poultry,¬¹¯b¤Î®a¸V,Live chicken,¬¡Âû,-,-,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),Mainland,¤º¦a,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,¬F©²ªø¨FÆWÁ{®É®a¸V§åµo¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Livestock / Poultry,¬¹¯b¤Î®a¸V,Live chicken,¬¡Âû,26.8 ,26.8 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),Local,¥»¦a,Major wholesalers at the Government Cheung Sha Wan Temporary Wholesale Poultry Market,¬F©²ªø¨FÆWÁ{®É®a¸V§åµo¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Marine fish,ÄÐ¤ô³½,Golden thread,¬õ­m,46.0 ,46.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,³½Ãþ²ÎÀç³Bªø¨FÆW³½¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Marine fish,ÄÐ¤ô³½,Horse head,°¨ÀY,31.0 ,31.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,³½Ãþ²ÎÀç³Bªø¨FÆW³½¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Marine fish,ÄÐ¤ô³½,Yellow croaker,¶Àªá,31.0 ,31.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,³½Ãþ²ÎÀç³Bªø¨FÆW³½¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Marine fish,ÄÐ¤ô³½,Big eyes,¤ì´Ö(¤j²´Âû),44.0 ,44.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,³½Ãþ²ÎÀç³Bªø¨FÆW³½¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Marine fish,ÄÐ¤ô³½,Scads,¦À³½,16.0 ,16.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,³½Ãþ²ÎÀç³Bªø¨FÆW³½¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Marine fish,ÄÐ¤ô³½,Breams,¥ß³½,53.0 ,53.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,³½Ãþ²ÎÀç³Bªø¨FÆW³½¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Marine fish,ÄÐ¤ô³½,Hairtail,¤ú±a,38.0 ,38.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,³½Ãþ²ÎÀç³Bªø¨FÆW³½¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Marine fish,ÄÐ¤ô³½,Mackerel,ÂB³½,44.0 ,44.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,³½Ãþ²ÎÀç³Bªø¨FÆW³½¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Marine fish,ÄÐ¤ô³½,Croakers,©Î³½,15.0 ,15.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,³½Ãþ²ÎÀç³Bªø¨FÆW³½¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Marine fish,ÄÐ¤ô³½,Filefish,¨FžÊ,31.0 ,31.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Fish Marketing Organization Cheung Sha Wan Fish Market,³½Ãþ²ÎÀç³Bªø¨FÆW³½¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Freshwater fish,²H¤ô³½,Grass carp,ñÃ³½,15.6 ,15.6 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,¬F©²ªø¨FÆW¤Î¦è°Ï°Æ­¹«~§åµo¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Freshwater fish,²H¤ô³½,Big head,¤j³½,15.9 ,15.9 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,¬F©²ªø¨FÆW¤Î¦è°Ï°Æ­¹«~§åµo¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Freshwater fish,²H¤ô³½,Mud carp,óÇ³½,18.5 ,18.5 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Major wholesalers at the Government Cheung Sha Wan and Western Wholesale Food Markets,¬F©²ªø¨FÆW¤Î¦è°Ï°Æ­¹«~§åµo¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,Flowering Cabbage,µæªä,3.3 ,3.3 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,White Cabbage,¥Õµæ,4.3 ,4.3 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,Chinese Lettuce,­ð¥Íµæ,3.0 ,3.0 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,Water Spinach,³qµæ,3.2 ,3.2 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,Chinese Kale,ªãÄõ,3.8 ,3.8 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,European Celery,¦èªà,7.7 ,7.7 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,Potato,Á¦¥J,4.2 ,4.2 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,Spinach,µÔµæ,5.3 ,5.3 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,"Yard-long bean, white",¥Õ¨§¨¤,6.3 ,6.3 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,Broccoli,¦èÄõªá,10.2 ,10.2 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,Green Cabbage,«C¥Õµæ,3.2 ,3.2 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,Tomato,¿»­X,4.4 ,4.4 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Vegetables,½­µæ,Chinese Spinach,³Aµæ,4.4 ,4.4 ,($ / Catty),(¤¸¡þ¤ç),(Yesterday),(¬Q¤é),-,-,Vegetable Marketing Organization Cheung Sha Wan Wholesale Vegetable Market,½­µæ²ÎÀç³Bªø¨FÆW¥«³õ,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Eggs,Âû³J,Brown-shelled egg (medium) Mainland,¤º¦a°Ø³J¡@¡@¡@(¤¤),0.72 ,0.72 ,($ / Egg),(¤¸¡þ°¦),(Yesterday),(¬Q¤é),-,-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,¬F©²ªø¨FÆW¤Î¦è°Ï°Æ­¹«~§åµo¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Eggs,Âû³J,Grade II brown-shelled egg Germany (360/box),¼w°ê¤G¯Å°Ø³J¡@(360¸Ë),-,-,($ / Egg),(¤¸¡þ°¦),(Yesterday),(¬Q¤é),-,-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,¬F©²ªø¨FÆW¤Î¦è°Ï°Æ­¹«~§åµo¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
Average Wholesale Prices,¥­§¡§åµo»ù,Eggs,Âû³J,Brown-shelled egg (medium) USA,¬ü°ê°Ø³J¡@¡@¡@(¤¤¸Ë),0.78 ,0.78 ,($ / Egg),(¤¸¡þ°¦),(Yesterday),(¬Q¤é),-,-,Major wholesalers of the Government Cheung Sha Wan and Western Wholesale Food Markets,¬F©²ªø¨FÆW¤Î¦è°Ï°Æ­¹«~§åµo¥«³õ¥D­n§åµo°Ó,26/5/2016,26/5/2016
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
